 LEA,Name,Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,Total 
 04450000,Abby Kelley Foster Charter Public School,Commonwealth ,, 117,112,118,123,119,118,128,121,115,93,86,98,78 ,"1,426"
 04120000,Academy Of the Pacific Rim Charter Public School,Commonwealth ,,,,,,, 78,78,78,78,72,60,54,42,540 
 04300000,Advanced Math and Science Academy Charter School,Commonwealth ,,,,,,,, 118,156,159,155,149,126,103,966 
 04090000,Alma del Mar Charter School,Commonwealth ,, 50,50,46,46,50,50,46,42,40 ,,,,, 420 
 35090000,Argosy Collegiate Charter School,Commonwealth ,,,,,,,, 102,104,105,99 ,,,, 410 
 04910000,Atlantis Charter School,Commonwealth ,, 106,106,106,106,106,106,106,106,106,106,90,75,48 ,"1,273"
 35020000,Baystate Academy Charter Public School,Commonwealth ,,,,,,,, 80,80,80,80,80,68 ,, 468 
 04200000,Benjamin Banneker Charter Public School,Commonwealth,25,50,48,48,50,45,49,35 ,,,,,,, 350 
 04470000,Benjamin Franklin Classical Charter Public School,Commonwealth ,, 50,50,50,50,51,50,52,49,50 ,,,,, 452 
 04140000,Berkshire Arts and Technology Charter Public School,Commonwealth ,,,,,,,, 54,74,70,47,43,45,30,363 
 04490000,Boston Collegiate Charter School,Commonwealth ,,,,,,, 96,96,100,98,89,75,74,72,700 
 04160000,Boston Preparatory Charter Public School,Commonwealth ,,,,,,,, 88,52,63,88,64,62,49,466 
 04810000,Boston Renaissance Charter Public School,Commonwealth,120,144,144,144,120,114,84,74 ,,,,,,, 944 
 04170000,Bridge Boston Charter School,Commonwealth,36,40,40,40,40,40,40,36 ,,,,,,, 312 
 04280000,Brooke Charter School,Commonwealth ,, 180,180,182,183,192,191,184,186,142,104,68 ,,,"1,792"
 04320000,Cape Cod Lighthouse Charter School,Commonwealth ,,,,,,,, 80,80,83 ,,,,, 243 
 04180000,Christa McAuliffe Charter Public School,Commonwealth ,,,,,,,, 132,142,122 ,,,,, 396 
 04370000,City on a Hill Charter Public School Circuit Street,Commonwealth ,,,,,,,,,,, 97,74,62,47,280 
 35040000,City on a Hill Charter Public School Dudley Square,Commonwealth ,,,,,,,,,,, 88,80,62,50,280 
 35070000,City on a Hill Charter Public School New Bedford,Commonwealth ,,,,,,,,,,, 95,70,47,18,230 
 04380000,Codman Academy Charter Public School,Commonwealth,20,20,20,20,20,20,20,20,20,20,40,40,38,27,345 
 35030000,Collegiate Charter School of Lowell,Commonwealth ,, 100,108,111,91,122,95,64,65 ,,,,,, 756 
 04360000,Community Charter School of Cambridge,Commonwealth ,,,,,,,, 42,65,61,58,56,55,57,394 
 04260000,Community Day Charter Public School - Gateway,Commonwealth,40,40,42,40,42,38,40,38 ,,,,,,, 320 
 04400000,Community Day Charter Public School - Prospect,Commonwealth,46,43,43,50,47,48,44,37,20,22 ,,,,, 400 
 04310000,Community Day Charter Public School - R. Kingman Webster,Commonwealth,40,41,42,42,42,42,39,32 ,,,,,,, 320 
 04390000,Conservatory Lab Charter School,Commonwealth,46,46,46,46,46,44,44,44,44,38 ,,,,, 444 
 04100000,Excel Academy Charter School,Commonwealth ,,,,,,, 168,171,173,175,174,174,106 ,,"1,141"
 04130000,Four Rivers Charter Public School,Commonwealth ,,,,,,,,, 36,36,38,38,36,36,220 
 04460000,Foxborough Regional Charter School,Commonwealth ,, 130,130,130,130,130,130,130,130,130,100,83,68,59 ,"1,480"
 04780000,Francis W. Parker Charter Essential School,Commonwealth ,,,,,,,,, 69,71,65,62,61,72,400 
 04960000,Global Learning Charter Public School,Commonwealth ,,,,,,, 83,79,89,80,40,41,46,42,500 
 04990000,Hampden Charter School of Science,Commonwealth ,,,,,,,, 80,109,85,87,73,39,33,506 
 04190000,Helen Y. Davis Leadership Academy Charter Public School,Commonwealth ,,,,,,,, 88,68,60 ,,,,, 216 
 04550000,Hill View Montessori Charter Public School,Commonwealth ,, 34,34,36,36,35,33,35,32,31 ,,,,, 306 
 04500000,Hilltown Cooperative Charter Public School,Commonwealth ,, 20,20,21,21,21,21,33,29,32 ,,,,, 218 
 04530000,Holyoke Community Charter School,Commonwealth ,, 71,83,80,87,85,86,77,85,48 ,,,,, 702 
 04350000,Innovation Academy Charter School,Commonwealth ,,,,,,, 105,100,104,100,98,98,100,95,800 
 04630000,KIPP Academy Boston Charter School,Commonwealth ,, 60,74,75,74 ,, 60,75,79,70 ,,,,, 567 
 04290000,KIPP Academy Lynn Charter School,Commonwealth ,, 120,120,120 ,,, 128,128,128,128,130,131,129,105 ,"1,367"
 04540000,Lawrence Family Development Charter School,Commonwealth,79,85,84,84,84,84,84,52,54,50 ,,,,, 740 
