DISTRICT,fiscalYear,studentType,schoolType,Org Code,Students,Students Disciplined,% In-School Suspension,inSchoolSuspension,% Out-of-School Suspension,outSchoolSuspension,% Expulsion,expulsion,% Removed to Alternate Setting,removedToAlternate,% Emergency Removal,emergencyRemoval
Academy Of the Pacific Rim Charter Public (District),2016,SPED,Charter,04120000,140,14,0.7,1,8.6,12,0,0,0,0,1.4,2
Boston Collegiate Charter (District),2016,SPED,Charter,04490000,143,29,7.7,11,16.8,24,0,0,0,0,0,0
Boston Preparatory Charter Public (District),2016,SPED,Charter,04160000,86,25,18.6,16,19.8,17,0,0,0,0,0,0
Boston Renaissance Charter Public (District),2016,SPED,Charter,04810000,135,24,11.9,16,11.9,16,0,0,0,0,0,0
Brooke Charter School East Boston (District),2016,SPED,Charter,04570000,41,10,4.9,2,22,9,0,0,0,0,2.4,1
Codman Academy Charter Public (District),2016,SPED,Charter,04380000,81,21,6.2,5,8.6,7,0,0,0,0,22.2,18
City on a Hill Charter Public School Circuit Street (District),2016,SPED,Charter,04370000,71,23,25.4,18,15.5,11,0,0,0,0,15.5,11
City on a Hill Charter Public School Dudley Square (District),2016,SPED,Charter,35040000,56,26,10.7,6,28.6,16,0,0,1.8,1,35.7,20
Conservatory Lab Charter (District),2016,SPED,Charter,04390000,76,14,0,0,18.4,14,0,0,0,0,1.3,1
Excel Academy Charter (District),2016,SPED,Charter,04100000,157,41,1.9,3,24.8,39,0,0,0,0,0,0
KIPP Academy Boston Charter School (District),2016,SPED,Charter,04630000,92,26,0,0,28.3,26,0,0,0,0,0,0
MATCH Charter Public School (District),2016,SPED,Charter,04690000,218,49,2.8,6,21.6,47,0,0,0,0,0.5,1
Neighborhood House Charter (District),2016,SPED,Charter,04440000,68,8,10.3,7,2.9,2,0,0,0,0,0,0
Roxbury Preparatory Charter (District),2016,SPED,Charter,04840000,202,89,5,10,43.1,87,0,0,0,0,0,0
Boston,2016,SPED,Public,00350000,"11,684","1,162",1.8,210,9,1052,0,0,0,0,0.3,35
